methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.8809±0.001,0.8809±0.0,0.8807±0.002,0.8925±0.006,0.8877±0.007,0.8991±0.005,0.9907±0.007,0.991±0.005,0.9799±0.016,0.9854±0.005,0.9687±0.023,0.9715±0.005,0.9737±0.006,0.0129±0.008,0.2255±0.001,0.8317±0.01,0.7629±0.077,0.0194±0.008,0.2371±0.077,0.9806±0.008,0.0138±0.007,0.2296±0.001,0.8135±0.004,0.7011±0.119,0.0199±0.009,0.2989±0.119,0.9801±0.009,0.0155±0.006,0.2201±0.001,0.8797±0.001,0.0726±0.009,0.4178±0.026,0.0765±0.011,0.0675±0.007,0.4239±0.032,0.4091±0.022
resampling,0.8772±0.001,0.8751±0.004,0.8799±0.003,0.8863±0.004,0.8817±0.003,0.8924±0.006,0.9968±0.002,0.9947±0.002,0.9571±0.027,0.9759±0.014,0.9459±0.01,0.9826±0.01,0.9833±0.012,0.0092±0.004,0.2279±0.001,0.8099±0.006,0.8016±0.063,0.0159±0.006,0.1984±0.063,0.9841±0.006,0.0095±0.005,0.2334±0.002,0.8121±0.014,0.6989±0.067,0.0214±0.006,0.3011±0.067,0.9786±0.006,0.0117±0.003,0.2203±0.002,0.8751±0.004,0.0819±0.007,0.3973±0.022,0.0841±0.006,0.0788±0.008,0.415±0.032,0.3721±0.013
DomainInd,0.8813±0.001,0.8811±0.002,0.8814±0.001,0.8851±0.004,0.8799±0.004,0.8921±0.004,0.9873±0.007,0.9885±0.005,0.98±0.004,0.9843±0.004,0.9652±0.01,0.9743±0.01,0.9757±0.014,0.0439±0.005,0.2779±0.012,0.831±0.003,0.7307±0.062,0.0216±0.008,0.2693±0.062,0.9784±0.008,0.0458±0.006,0.2811±0.011,0.8113±0.005,0.6634±0.08,0.0231±0.009,0.3366±0.08,0.9769±0.009,0.0414±0.005,0.2736±0.013,0.8806±0.001,0.0862±0.006,0.371±0.019,0.091±0.008,0.0796±0.006,0.3728±0.026,0.3685±0.015
LAFTR,0.8777±0.001,0.8784±0.002,0.8764±0.001,0.8811±0.004,0.875±0.005,0.8894±0.004,0.9827±0.006,0.9847±0.007,0.9852±0.016,0.985±0.007,0.9841±0.01,0.9701±0.006,0.9712±0.005,0.008±0.002,0.227±0.001,0.8306±0.005,0.7522±0.026,0.0208±0.003,0.2478±0.026,0.9792±0.003,0.009±0.003,0.2307±0.002,0.8116±0.013,0.7219±0.008,0.0193±0.002,0.2781±0.008,0.9807±0.002,0.0105±0.003,0.2219±0.0,0.8764±0.001,0.0904±0.005,0.3725±0.012,0.0968±0.007,0.0816±0.004,0.3692±0.02,0.3772±0.008
CFair,0.8797±0.001,0.8801±0.001,0.8814±0.003,0.8842±0.006,0.884±0.005,0.8843±0.009,0.9865±0.015,0.9902±0.011,0.9257±0.045,0.958±0.028,0.9751±0.022,0.9753±0.013,0.9746±0.011,0.0144±0.005,0.2271±0.002,0.8338±0.004,0.8157±0.1,0.0133±0.008,0.1843±0.1,0.9867±0.008,0.0174±0.01,0.2319±0.005,0.8135±0.015,0.7702±0.058,0.0133±0.004,0.2298±0.058,0.9867±0.004,0.0163±0.009,0.2207±0.002,0.8792±0.001,0.0846±0.008,0.3939±0.019,0.0805±0.008,0.0902±0.012,0.4244±0.031,0.3502±0.026
LNL,0.8608±0.002,0.8601±0.002,0.8641±0.001,0.8685±0.006,0.8574±0.006,0.8835±0.022,0.9534±0.041,0.9591±0.034,0.9106±0.084,0.9348±0.058,0.9515±0.04,0.9453±0.042,0.9456±0.039,0.0076±0.001,0.2393±0.002,0.7862±0.006,0.7798±0.049,0.0236±0.009,0.2202±0.049,0.9764±0.009,0.0157±0.006,0.2452±0.002,0.7799±0.011,0.8156±0.068,0.0123±0.006,0.1844±0.068,0.9877±0.006,0.0117±0.006,0.2313±0.001,0.8601±0.002,0.1016±0.01,0.398±0.027,0.1163±0.009,0.0817±0.034,0.3707±0.02,0.4369±0.092
EnD,0.8654±0.004,0.8698±0.005,0.8648±0.005,0.8795±0.021,0.8705±0.024,0.8918±0.017,0.9678±0.009,0.9726±0.009,0.9516±0.014,0.9621±0.01,0.9951±0.003,0.9323±0.006,0.9329±0.006,0.0215±0.003,0.2363±0.004,0.8126±0.001,0.7949±0.165,0.0196±0.019,0.2051±0.165,0.9804±0.019,0.0273±0.003,0.2412±0.005,0.7973±0.008,0.7885±0.167,0.0163±0.016,0.2115±0.167,0.9837±0.016,0.0179±0.008,0.2296±0.004,0.8648±0.005,0.0901±0.032,0.3909±0.071,0.1017±0.036,0.0744±0.027,0.371±0.072,0.4193±0.069
ODR,0.8798±0.001,0.8797±0.002,0.8796±0.001,0.8938±0.001,0.8892±0.003,0.8999±0.001,0.9891±0.001,0.9905±0.002,0.9906±0.001,0.9905±0.002,0.9635±0.008,0.9704±0.0,0.9714±0.004,0.0139±0.012,0.2265±0.003,0.8216±0.002,0.7773±0.1,0.017±0.01,0.2227±0.1,0.983±0.01,0.0132±0.013,0.2307±0.003,0.8078±0.004,0.7065±0.116,0.0192±0.011,0.2935±0.116,0.9808±0.011,0.0162±0.01,0.2207±0.003,0.8791±0.001,0.0715±0.002,0.4156±0.008,0.0755±0.003,0.066±0.001,0.4171±0.005,0.4135±0.014
GroupDRO,0.8627±0.003,0.8624±0.003,0.863±0.003,0.8632±0.001,0.8525±0.002,0.8777±0.002,0.9699±0.005,0.9715±0.004,0.9833±0.011,0.9774±0.007,0.9589±0.007,0.9621±0.002,0.9602±0.003,0.221±0.03,0.4639±0.039,0.7913±0.013,0.1662±0.017,0.24±0.022,0.8338±0.017,0.76±0.022,0.235±0.031,0.4888±0.043,0.7896±0.007,0.2119±0.021,0.2036±0.017,0.7881±0.021,0.7964±0.017,0.2021±0.028,0.4301±0.033,0.8621±0.003,0.1125±0.003,0.3535±0.021,0.1246±0.003,0.0961±0.004,0.3466±0.024,0.3633±0.019
SWAD,0.8879±0.001,0.8872±0.001,0.8885±0.0,0.8906±0.003,0.8863±0.003,0.8963±0.002,0.9883±0.004,0.9904±0.003,0.9912±0.006,0.9908±0.004,0.9542±0.003,0.9743±0.001,0.9741±0.002,0.0094±0.001,0.2192±0.001,0.8404±0.002,0.6715±0.006,0.029±0.001,0.3285±0.006,0.971±0.001,0.0074±0.0,0.2234±0.001,0.8258±0.004,0.5803±0.006,0.0285±0.001,0.4197±0.006,0.9715±0.001,0.013±0.002,0.2134±0.001,0.8872±0.001,0.0805±0.005,0.3674±0.017,0.0845±0.006,0.075±0.003,0.3666±0.022,0.3684±0.01
resamplingSWAD,0.8851±0.001,0.8843±0.001,0.8861±0.002,0.8876±0.006,0.8833±0.006,0.8934±0.005,0.9885±0.003,0.9904±0.002,0.9962±0.002,0.9933±0.002,0.9509±0.005,0.9717±0.004,0.9707±0.002,0.0113±0.001,0.2217±0.001,0.8389±0.003,0.6743±0.012,0.0292±0.001,0.3257±0.012,0.9708±0.001,0.0104±0.001,0.2257±0.001,0.8187±0.004,0.5778±0.011,0.0306±0.002,0.4222±0.011,0.9694±0.002,0.0161±0.001,0.2162±0.001,0.8843±0.001,0.0835±0.009,0.3702±0.026,0.0876±0.01,0.0779±0.008,0.3702±0.028,0.3703±0.024
SAM,0.8809±0.001,0.8814±0.001,0.8799±0.001,0.8912±0.006,0.8853±0.005,0.8992±0.006,0.9828±0.002,0.9852±0.001,0.989±0.009,0.9871±0.005,0.973±0.005,0.9677±0.004,0.9691±0.004,0.0115±0.001,0.224±0.001,0.8309±0.002,0.7908±0.059,0.0156±0.007,0.2092±0.059,0.9844±0.007,0.0131±0.001,0.2283±0.001,0.8135±0.003,0.7387±0.063,0.0158±0.004,0.2613±0.063,0.9842±0.004,0.0114±0.001,0.2181±0.001,0.8799±0.001,0.0762±0.01,0.3993±0.033,0.0825±0.01,0.0676±0.01,0.3948±0.036,0.4058±0.03
